k	x	xAdaptive(1)	yAdaptive(1)	
214	84.4641	4.44578	
215	84.8641	4.5658	
216	85.2641	4.68649	
217	85.6641	4.78533	
218	86.0641	4.8473	
219	86.4641	4.86788	
220	86.8641	4.85311	
221	87.2641	4.81701	
222	87.6641	4.7773	
223	88.0641	4.75049	
224	88.4641	4.74786	
225	88.8641	4.77316	
226	89.2641	4.82243	
227	89.6641	4.88589	
228	90.0641	4.95101	
229	90.4641	5.00603	
230	90.8641	5.04279	
231	91.2641	5.05838	
232	91.6641	5.05512	
233	92.0641	5.03928	
234	92.4641	5.01884	
235	92.8641	5.00125	
236	93.2641	4.99152	
237	93.6641	4.9914	
238	94.0641	4.99945	
239	94.4641	5.0121	
240	94.8641	5.02501	
241	95.2641	5.03452	
242	95.6641	5.03853	
243	96.0641	5.03686	
244	96.4641	5.0309	
245	96.8641	5.02286	
246	97.2641	5.01494	
247	97.6641	5.00864	
248	98.0641	5.00453	
249	98.4641	5.0023	
250	98.8641	5.00124	
251	99.2641	5.00063	
252	99.6641	5.00018	
253	100	5	
